SellerID,GUID,Date,Reference,Customer_Code,Name,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Telephone,Stock_Code,Description,Price_Ex_Vat,Quantity,RepCode,ProductBarCodeID
VILJOEN,0,2026-02-03,CRN23873,P4002,QUICKSTEP 686 PTY (Ltd),PO BOX 1067,CROWN MINES,,,016 986 2223,DIV,Diverse,308.0,-1.0,1,
VILJOEN,0,2026-02-03,CRN23874,P3005,COD,,,,,,WBNEW500,W/B Spring Water Still 24x500ml,86.97,-30.0,31,
VILJOEN,0,2026-02-03,CRN23875,P3005,COD,,,,,,WBNEW500,W/B Spring Water Still 24x500ml,87.0,-10.0,31,
VILJOEN,0,2026-02-03,CRN23876,P3371,W DU PREEZ t/a TRITEX MOTORS (3%) (CAD),P.O. Box 1697,Mokopane,,3 Beitel Street  Mokopane 600.0,015 491 5523,HOG105/1,DISCONTINUED,24.46,-13.0,8,
VILJOEN,0,2026-02-03,CRN23877,P3371,W DU PREEZ t/a TRITEX MOTORS (3%) (CAD),P.O. Box 1697,Mokopane,,3 Beitel Street  Mokopane 600.0,015 491 5523,HOG105/1,DISCONTINUED,25.23,-13.0,8,
VILJOEN,0,2026-02-03,CRN23878,P1278,SASOL TZANEEN (3%) (7 D - I),P.O. Box 4092,,Tzaneen,R71 Wolkberg Street  Tzaneen,015 307 7366,MA013,Mageu  Mabele 10x1lt,148.29,-7.0,18,
VILJOEN,0,2026-02-03,CRN23879,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380.0,015 795 5141,TA210,Take 5 Drinking Yog Choc Mousse Tai 10x300gm,inf,0.0,42,
VILJOEN,0,2026-02-03,CRN23879,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380.0,015 795 5141,TA212,Take 5 Drinking Yogh Straw Crm10x300gm,inf,0.0,42,
VILJOEN,0,2026-02-03,CRN23879,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380.0,015 795 5141,TA501,Take 5 Orange 100% 10x500ml,inf,0.0,42,
VILJOEN,0,2026-02-03,CRN23880,P245,J R MASEMOLA & SONS INVESTMENTS(Pty) Ltd,t/a SASOL ZEBETIELA 1STOP SOUTH 30D-C,P. O. Box 907,Mokopane,N1 Higway 2Km North Of Nyl Toll Plaza Mokopane 600.0,015 491 2459,MA001,Mageu  Banana 10x500ml,114.75,-4.0,8,
