"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"ALL Other","Other income",03/02/2026,"CRN23873","P4002","QUICKSTEP 686 PTY (Ltd)","PO BOX 1067","CROWN MINES","","","","","","","016 986 2223","DIV","Diverse",-1,-308,1
"ALL Other","Waterberg NEW",03/02/2026,"CRN23874","P3005","COD","","","","","","","","","","WBNEW500","W/B Spring Water Still 24x500ml",-30,-2609,31
"ALL Other","Waterberg NEW",03/02/2026,"CRN23875","P3005","COD","","","","","","","","","","WBNEW500","W/B Spring Water Still 24x500ml",-10,-870,31
"ALL Other","Sweets",03/02/2026,"CRN23876","P3371","W DU PREEZ t/a TRITEX MOTORS (3%) (CAD)","P.O. Box 1697","Mokopane","","0600","3 Beitel Street","","Mokopane","0600","015 491 5523","HOG105/1","DISCONTINUED",-13,-318,8
"ALL Other","Sweets",03/02/2026,"CRN23877","P3371","W DU PREEZ t/a TRITEX MOTORS (3%) (CAD)","P.O. Box 1697","Mokopane","","0600","3 Beitel Street","","Mokopane","0600","015 491 5523","HOG105/1","DISCONTINUED",-13,-328,8
"Sasol","Mageu",03/02/2026,"CRN23878","P1278","SASOL TZANEEN (3%) (7 D - I)","P.O. Box 4092","","Tzaneen","0850","R71 Wolkberg Street","","Tzaneen","","015 307 7366","MA013","Mageu  Mabele 10x1lt",-7,-1038,18
"ALL Other","Take 5 Juice",03/02/2026,"CRN23879","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","TA210","Take 5 Drinking Yog Choc Mousse Tai 10x300gm",0,-54,42
"ALL Other","Take 5 Juice",03/02/2026,"CRN23879","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","TA212","Take 5 Drinking Yogh Straw Crm10x300gm",0,-54,42
"ALL Other","Take 5 Juice",03/02/2026,"CRN23879","P1722","FOREVER RESORTS(Pty) Ltd (30D-C-I","SWADINI, A FOREVER RESORT","Private Bag X3003","Hoedspruit","1380","BLYDERIVIERSPOORT NATURE RESERVE","R531","Hoedspruit","1380","015 795 5141","TA501","Take 5 Orange 100% 10x500ml",0,-70,42
"Sasol","Mageu",03/02/2026,"CRN23880","P245","J R MASEMOLA & SONS INVESTMENTS(Pty) Ltd","t/a SASOL ZEBETIELA 1STOP SOUTH 30D-C","P. O. Box 907","Mokopane","0600","N1 Higway","2Km North Of Nyl Toll Plaza","Mokopane","0600","015 491 2459","MA001","Mageu  Banana 10x500ml",-4,-459,8
"ALL Other","The Beverage Co",03/02/2026,"CRN23881","P605","PIETIE LIEFDE (14 DAYS EFT)","125 DORP STRAAT","POLOKWANE","","","PHS","125 DORP STRAAT","POLOKWANE","","066 277 9162","P5500107","Super C Can Apple 6x4x500ml",-1,-215,1
